Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 7,Bank Branch C,0,0,0,Invest,974,1,936,82.73
Client 6,Bank Branch B,0,0,0,Invest,461,1,374,86.64
Client 7,Bank Branch C,0,0,0,Retire,220,1,716,
Client 5,Bank Branch A,0,0,0,Invest,360,1,354,84.86
Client 4,Bank Branch B,0,0,0,Invest,343,1,206,86.39
Client 5,Bank Branch A,0,0,0,Retire,718,1,354,
Client 10,Bank Branch C,0,1.25,1.25,Retire,249,1,153,
Client 6,Bank Branch B,0,1.16,1.16,Retire,263,1,111,
Client 3,Bank Branch C,0,1.09,1.09,Invest,138,1,810,82.95
Client 2,Bank Branch A,0,1.53,1.53,Deposit,533,1,895,
Client 5,Bank Branch A,0,1.7,1.7,Loan,851,1,1205,83.77
Client 9,Bank Branch B,0,1.56,1.56,Invest,574,1,147,85.89
Client 3,Bank Branch C,0,2.39,2.39,Retire,942,1,810,
Client 2,Bank Branch A,0,3.02,3.02,Retire,720,1,175,
Client 2,Bank Branch A,0,3.25,3.25,Deposit,245,1,420,
Client 1,Bank Branch C,0,2.98,2.98,Invest,986,1,863,82.62
Client 10,Bank Branch C,0,3.64,3.64,Deposit,201,1,354,
Client 7,Bank Branch C,0,4.8,4.8,Retire,956,1,716,
Client 5,Bank Branch A,0,4.57,4.57,Invest,996,1,1205,82.53
Client 7,Bank Branch C,0,4.77,4.77,Deposit,146,1,862,
Client 5,Bank Branch A,0,4.53,4.53,Invest,768,1,1205,84.44
Client 2,Bank Branch A,0,6.1,6.1,Loan,174,1,420,86.9
Client 1,Bank Branch C,0,6.08,6.08,Retire,425,1,438,
Client 3,Bank Branch C,0,6.22,6.22,Loan,854,1,1664,82.95
Client 1,Bank Branch C,0,7.82,7.82,Deposit,762,1,1200,
Client 6,Bank Branch B,9.17,9.17,0.0,Invest,785,2,111,84.31
Client 5,Bank Branch A,9.17,9.17,0.0,Loan,953,2,1100.45,100
Client 9,Bank Branch B,9.17,9.17,0.0,Retire,560,2,147,
Client 5,Bank Branch A,9.17,9.17,0.0,Retire,727,2,373.45,
Client 10,Bank Branch C,9.17,9.17,0.0,Invest,762,2,354,84.49
Client 10,Bank Branch C,9.17,9.17,0.0,Loan,560,2,354,85.99
Client 4,Bank Branch B,9.17,10.2,1.03,Retire,576,2,206,
Client 5,Bank Branch A,9.17,10.46,1.29,Invest,231,2,373.45,100
Client 3,Bank Branch C,9.17,11.09,1.92,Invest,965,2,1517.33,100
Client 9,Bank Branch B,9.17,10.84,1.67,Deposit,459,2,606,
Client 8,Bank Branch C,9.17,11.13,1.96,Invest,867,2,103,83.64
Client 9,Bank Branch B,9.17,12.03,2.86,Deposit,442,2,1048,
Client 8,Bank Branch C,9.17,12.5,3.33,Deposit,506,2,609,
Client 9,Bank Branch B,9.17,12.71,3.54,Loan,193,2,1048,87.53
Client 1,Bank Branch C,9.17,12.86,3.69,Invest,257,2,1200,100
Client 3,Bank Branch C,9.17,13.91,4.74,Deposit,209,2,1726.33,
Client 7,Bank Branch C,9.17,14.64,5.47,Deposit,843,2,1705,
Client 8,Bank Branch C,9.17,15.62,6.45,Loan,200,2,609,84.53
Client 8,Bank Branch C,9.17,16.48,7.31,Invest,421,2,609,84.53
Client 3,Bank Branch C,9.17,17.25,8.08,Retire,839,2,887.33,
Client 7,Bank Branch C,9.17,18.47,9.3,Invest,651,2,1705,83.68
Client 1,Bank Branch C,9.17,18.15,8.98,Loan,341,2,1200,100
Client 7,Bank Branch C,9.17,19.52,10.35,Loan,368,2,1705,83.68
Client 1,Bank Branch C,9.17,19.58,10.41,Invest,214,2,1200,100
Client 10,Bank Branch C,9.17,21.05,11.88,Retire,772,2,354,
Client 10,Bank Branch C,22.26,22.26,0.0,Retire,240,3,114,
Client 8,Bank Branch C,22.26,22.26,0.0,Retire,988,3,838.75,
Client 5,Bank Branch A,22.26,22.26,0.0,Invest,192,3,268.9,87.67
Client 9,Bank Branch B,22.26,22.26,0.0,Loan,357,3,1048,100
Client 2,Bank Branch A,22.26,22.26,0.0,Loan,201,3,420,86.88
Client 9,Bank Branch B,22.26,22.26,0.0,Loan,751,3,1048,100
Client 1,Bank Branch C,22.26,23.33,1.07,Deposit,861,3,2061,
Client 2,Bank Branch A,22.26,23.88,1.62,Deposit,516,3,936,
Client 8,Bank Branch C,22.26,23.34,1.08,Invest,854,3,838.75,83.74
Client 6,Bank Branch B,22.26,23.91,1.65,Loan,274,3,111,87.0
Client 6,Bank Branch B,22.26,24.16,1.9,Deposit,496,3,607,
Client 8,Bank Branch C,22.26,24.38,2.12,Loan,704,3,1542.76,83.87
Client 8,Bank Branch C,22.26,25.24,2.98,Retire,952,3,590.76,
Client 6,Bank Branch B,22.26,25.87,3.61,Retire,762,3,607,
Client 6,Bank Branch B,22.26,25.84,3.59,Retire,285,3,322,
Client 10,Bank Branch C,22.26,26.13,3.87,Deposit,847,3,961,
Client 10,Bank Branch C,22.26,26.49,4.23,Loan,922,3,1883,83.17
Client 4,Bank Branch B,22.26,27.74,5.48,Loan,945,3,1151,82.98
Client 9,Bank Branch B,22.26,27.26,5.0,Invest,674,3,1048,100
Client 7,Bank Branch C,22.26,27.87,5.61,Invest,182,3,1705,100
Client 1,Bank Branch C,22.26,27.88,5.62,Deposit,323,3,2384,
Client 3,Bank Branch C,22.26,29.24,6.98,Retire,620,3,120.66,
Client 9,Bank Branch B,22.26,29.08,6.82,Retire,397,3,651,
Client 4,Bank Branch B,22.26,28.89,6.64,Retire,280,3,871,
Client 7,Bank Branch C,22.26,29.36,7.1,Loan,391,3,1705,100
Client 3,Bank Branch C,22.26,30.6,8.34,Deposit,859,3,979.66,
Client 3,Bank Branch C,32.36,32.36,0.0,Loan,760,4,1593.0,83.92
Client 5,Bank Branch A,32.36,32.36,0.0,Invest,638,4,164.35,85.43
Client 8,Bank Branch C,32.36,32.36,0.0,Retire,427,4,151.8,
Client 9,Bank Branch B,32.36,32.36,0.0,Invest,385,4,651,85.34
Client 6,Bank Branch B,32.36,32.36,0.0,Deposit,383,4,705,
Client 2,Bank Branch A,32.36,32.36,0.0,Retire,223,4,713,
Client 2,Bank Branch A,32.36,33.61,1.25,Loan,167,4,880,84.14
Client 8,Bank Branch C,32.36,33.45,1.08,Loan,577,4,151.8,85.86
Client 7,Bank Branch C,32.36,33.68,1.31,Deposit,368,4,2073,
Client 5,Bank Branch A,32.36,34.18,1.81,Invest,637,4,164.35,85.44
Client 1,Bank Branch C,32.36,35.19,2.83,Loan,511,4,2384,100
Client 2,Bank Branch A,36.66,36.66,0.0,Loan,926,5,1718.33,83.14
Client 2,Bank Branch A,36.66,36.66,0.0,Deposit,231,5,1949.33,
Client 1,Bank Branch C,36.66,36.66,0.0,Retire,311,5,2073,
Client 9,Bank Branch B,36.66,36.66,0.0,Deposit,505,5,1156,
Client 8,Bank Branch C,36.66,36.66,0.0,Loan,631,5,139.85,85.49
Client 4,Bank Branch B,36.66,36.66,0.0,Invest,650,5,215.8,85.35
Client 2,Bank Branch A,36.66,37.73,1.07,Retire,197,5,1752.33,
Client 8,Bank Branch C,36.66,38.1,1.44,Loan,969,5,1108.85,82.77
Client 2,Bank Branch A,36.66,37.75,1.09,Loan,128,5,1752.33,84.25
Client 4,Bank Branch B,36.66,38.19,1.53,Invest,468,5,215.8,86.39
Client 3,Bank Branch C,36.66,38.63,1.98,Loan,521,5,1054.93,100
Client 6,Bank Branch B,36.66,38.65,1.99,Retire,153,5,552,
Client 2,Bank Branch A,36.66,38.87,2.21,Invest,996,5,756.33,82.53
Client 5,Bank Branch A,36.66,39.52,2.86,Loan,787,5,846.8,84.29
Client 8,Bank Branch C,36.66,39.68,3.02,Deposit,724,5,1832.85,
Client 6,Bank Branch B,36.66,39.78,3.12,Loan,992,5,1544,82.57
Client 3,Bank Branch C,36.66,39.13,2.47,Retire,951,5,103.93,
Client 9,Bank Branch B,36.66,39.53,2.87,Deposit,838,5,1994,
