CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 1,Bank Branch A,0.58,0.58,0.0,Deposit,3707
Client 2,Bank Branch B,1.24,1.24,0.0,Invest,770
Client 2,Bank Branch B,1.24,1.24,0.0,Deposit,1222
Client 3,Bank Branch A,3.0,3.0,0.0,Retire,3472
Client 4,Bank Branch A,4.0,4.0,0.0,Retire,4546
Client 5,Bank Branch B,4.98,4.98,0.0,Loan,3547
Client 3,Bank Branch A,3.0,3.0,0.0,Loan,2071
Client 5,Bank Branch B,4.98,4.98,0.0,Invest,100
Client 4,Bank Branch A,4.0,4.0,0.0,Invest,4454
Client 3,Bank Branch A,3.0,3.0,0.0,Retire,1030
Client 6,Bank Branch B,6.96,6.96,0.0,Loan,3010
Client 4,Bank Branch A,4.0,4.0,0.0,Invest,2295
Client 3,Bank Branch A,3.0,3.0,0.0,Deposit,3090
Client 6,Bank Branch B,6.96,6.96,0.0,Loan,3073
Client 7,Bank Branch B,8.74,8.74,0.0,Invest,3143
Client 9,Bank Branch C,9.1,9.1,0.0,Invest,4162
Client 4,Bank Branch A,4.0,4.0,0.0,Invest,3886
Client 7,Bank Branch B,8.74,8.74,0.0,Retire,1301
Client 6,Bank Branch B,6.96,6.96,0.0,Deposit,806
Client 9,Bank Branch C,9.1,9.1,0.0,Invest,1584
Client 11,Bank Branch A,10.83,10.83,0.01,Retire,4528
Client 10,Bank Branch A,10.69,10.69,0.0,Invest,4858
Client 7,Bank Branch B,8.74,8.74,0.0,Invest,1949
Client 8,Bank Branch B,9.02,12.02,3.0,Loan,3622
Client 7,Bank Branch B,8.74,8.74,0.0,Retire,1679
Client 11,Bank Branch A,10.83,10.83,0.01,Loan,3474
Client 10,Bank Branch A,10.69,10.69,0.0,Deposit,4036
Client 12,Bank Branch B,12.09,13.64,1.56,Retire,4125
Client 13,Bank Branch B,13.73,14.08,0.35,Loan,1094
Client 14,Bank Branch A,14.12,14.36,0.25,Retire,1443
Client 11,Bank Branch A,10.83,10.83,0.01,Invest,1746
Client 14,Bank Branch A,14.12,14.36,0.25,Deposit,3412
Client 12,Bank Branch B,12.09,13.64,1.56,Invest,393
Client 13,Bank Branch B,13.73,14.08,0.35,Loan,3863
Client 11,Bank Branch A,10.83,10.83,0.01,Retire,4890
Client 15,Bank Branch A,14.97,16.63,1.66,Loan,3029
Client 12,Bank Branch B,12.09,13.64,1.56,Deposit,4921
Client 16,Bank Branch B,16.72,17.19,0.47,Retire,2961
Client 17,Bank Branch C,17.65,17.65,0.0,Retire,3884
Client 18,Bank Branch C,18.74,18.74,0.0,Retire,4693
Client 16,Bank Branch B,16.72,17.19,0.47,Loan,1366
Client 19,Bank Branch A,19.12,19.12,0.0,Retire,4426
Client 18,Bank Branch C,18.74,18.74,0.0,Loan,2743
Client 20,Bank Branch A,20.6,20.6,0.0,Invest,4239
Client 21,Bank Branch A,20.85,21.1,0.25,Invest,4508
Client 22,Bank Branch B,22.47,22.47,0.0,Invest,4615
Client 23,Bank Branch B,22.51,22.51,0.0,Retire,2439
Client 22,Bank Branch B,22.47,22.47,0.0,Loan,3211
Client 23,Bank Branch B,22.51,22.51,0.0,Deposit,899
Client 24,Bank Branch C,24.12,24.12,0.0,Retire,2344
Client 25,Bank Branch B,25.61,25.61,0.0,Retire,4521
Client 23,Bank Branch B,22.51,22.51,0.0,Invest,150
Client 24,Bank Branch C,24.12,24.12,0.0,Retire,2144
Client 25,Bank Branch B,25.61,25.61,0.0,Invest,3632
Client 24,Bank Branch C,24.12,24.12,0.0,Deposit,750
Client 26,Bank Branch B,26.38,27.62,1.25,Deposit,2086
Client 27,Bank Branch C,27.96,27.96,0.0,Deposit,516
Client 24,Bank Branch C,24.12,24.12,0.0,Deposit,2802
Client 26,Bank Branch B,26.38,27.62,1.25,Loan,1727
